direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,ai,safety
50.69907550720821,2511.131113208939,11,9,4,247.5,3945,197.25,128.88439587475278,345,15,27.0,25.25,17.483921184905864,47,2,driver_ai,safe
20.0,1871.2885062248608,8,6,4,262.5,2865,204.64285714285717,110.46111606925449,330,60,19.5,25.214285714285715,16.75529157962843,47,2,beamng,safe
20.0,1552.5772505007756,9,5,2,300.0,3180,227.14285714285717,119.30923634635764,345,15,22.0,24.857142857142854,12.351154618421845,47,7,driver_ai,safe
72.49191721726419,1979.3958895234439,7,11,2,75.0,2430,135.0,110.4536101718726,300,15,17.0,18.944444444444443,12.924877915702044,42,2,beamng,safe
40.0,1806.7627285242572,9,8,5,270.0,3270,192.35294117647058,120.46622234736007,345,30,22.0,21.41176470588235,14.233592508897484,47,2,driver_ai,safe
269.48612805935187,1564.0211253488085,5,4,2,270.0,1830,203.33333333333331,106.56244908763856,315,60,42.0,33.666666666666664,13.944333775567927,47,2,beamng,safe
25.43772910137012,1998.329530302128,6,6,1,187.5,2160,180.0,106.77078252031309,330,30,12.0,19.916666666666668,15.606934000273366,47,2,driver_ai,safe
177.5049295090139,1663.2183664621293,5,7,2,90.0,1875,156.25,111.15164191319893,315,30,24.5,23.25,11.92424001771182,37,2,beamng,safe
143.78439777343903,2038.1928861204917,8,8,3,165.0,2985,186.5625,127.71695695462681,345,15,24.5,26.6875,12.050512177911775,42,2,driver_ai,safe
239.43738967899463,1737.4188615183857,10,9,2,255.0,3480,183.15789473684208,134.12690893639135,345,15,32.0,27.78947368421053,13.979605247677293,47,2,driver_ai,safe
22.13774082402075,2528.974562660145,11,10,4,240.0,3960,188.57142857142856,120.8515702869281,345,15,12.0,17.714285714285715,12.079667518062687,42,2,driver_ai,safe
208.2081710662985,1362.7515925052628,7,7,3,172.5,2595,185.35714285714286,126.21501333770374,330,30,32.0,28.785714285714285,12.90170847727746,47,2,driver_ai,safe
48.0416485978572,1972.1678697531952,9,8,3,240.0,3285,193.2352941176471,116.97085077401056,330,15,22.0,20.529411764705888,14.528340041445258,47,2,driver_ai,safe
201.4122012976353,1824.1085341777045,4,4,3,180.0,1470,183.75,101.38879375946831,345,30,32.0,29.5,10.307764064044152,42,7,driver_ai,safe
208.2081710662985,1686.9676003979514,8,9,3,120.0,2820,165.88235294117646,131.72202565069554,345,15,32.0,27.588235294117645,13.271193144327619,47,7,driver_ai,safe
120.09649018010694,2114.7578723127253,6,8,2,120.0,2220,158.57142857142858,94.3100617914231,285,30,22.0,21.642857142857146,13.557323497215936,47,2,driver_ai,safe
303.72804020842824,1395.2348531895448,6,6,2,172.5,2100,175.0,120.51970793193951,345,15,22.0,26.16666666666667,15.388487760516155,47,7,beamng,safe
55.195635650759584,1695.406617492604,9,11,6,97.5,3210,160.5,133.16249471979714,345,15,17.0,19.0,10.535653752852738,42,7,driver_ai,safe
