is_start_seg,is_last_seg,prev_is_right_turn,prev_is_left_turn,prev_is_straight,prev_angles,prev_pivot_off,prev_actual_length,prev_direct_length,prev_directed_hausdorff,seg_is_right_turn,seg_is_left_turn,seg_is_straight,seg_angles,seg_pivot_off,seg_actual_length,seg_direct_length,next_is_right_turn,next_is_left_turn,next_is_straight,next_angles,next_pivot_off,next_actual_length,next_direct_length,next_directed_hausdorff,safety
0,0,1,0,0,75,22,115.15518264448704,107.1420115055348,5.504510813300233,0,1,0,-15,17,17.796710045057086,17.751562141927018,0,1,0,-75,22,115.15518264448704,107.1420115055348,3.486229709906329,safe
0,0,0,0,1,0,0,50.0,50.0,144.40221604947754,1,0,0,90,32,200.99813697946826,181.01933598375615,0,1,0,-105,17,124.57697031539959,107.89605427960794,160.01655852938472,safe
0,0,0,1,0,-75,22,115.15518264448704,107.1420115055348,70.59699442933858,1,0,0,120,12,100.49906848973411,83.13843876330607,0,0,1,0,0,50.0,50.0,67.06331503399204,safe
0,0,1,0,0,15,17,17.796710045057086,17.751562141927018,84.19404661242352,0,1,0,-30,47,98.405337896198,97.31596095854778,1,0,0,15,2,2.093730593536128,2.088419075520825,98.42260070659222,safe
0,0,0,1,0,-90,42,263.8100547855521,237.58787847867995,5.033522450099556,0,0,1,0,0,10.0,10.0,1,0,0,75,47,246.013344740495,228.89429730727898,6.077126747102152,safe
0,0,0,0,1,0,0,50.0,50.0,96.15319763678993,1,0,0,120,17,142.3736803604567,117.77945491468364,0,1,0,-120,22,184.24829223117928,152.42047106606114,104.05371510400671,safe
0,0,0,0,1,0,0,50.0,50.0,75.28612089887484,0,1,0,-90,17,106.78026027034252,96.16652224137044,1,0,0,105,37,271.13811186292855,234.83258872620567,83.83001702343344,safe
0,0,1,0,0,75,37,193.67007990209183,180.1933829865813,11.802299328654845,0,1,0,-45,7,21.984171232129345,21.430272212445022,1,0,0,45,42,131.90502739277605,128.58163327467014,13.014858322076652,safe
0,0,0,1,0,-30,27,56.53072602547547,55.90491374214449,8.303609590585399,0,1,0,-45,7,21.984171232129345,21.430272212445022,1,0,0,30,17,35.59342009011417,35.19939013394282,13.047581498108404,safe
0,0,0,1,0,-105,47,344.4186826366931,298.3008559495045,6.317602931900757,0,1,0,-15,32,33.49968949657804,33.4147052083332,1,0,0,105,42,307.77839724981067,266.56672233785497,9.00994192859136,safe
0,0,1,0,0,60,12,50.24953424486706,47.99999999999999,296.64116466977214,0,1,0,-105,47,344.4186826366931,298.3008559495045,1,0,0,60,22,92.12414611558964,88.0,290.79610626608377,safe
